pc_loc,hot_loc
"53.284551,-117.869208","52.7196584,-118.277607"
"53.284551,-117.869208","52.7256107,-118.24085"
"53.284551,-117.869208","53.0107649,-118.0895734"
"53.284551,-117.869208","52.7500791,-118.1415868"
"51.061933,-114.055120333333","50.7980895,-114.8468122"
"51.061933,-114.055120333333","50.8627443,-114.7954559"
"51.061933,-114.055120333333","50.8429257,-114.8487139"
"51.061933,-114.055120333333","50.858334,-114.7941598"
"51.061933,-114.055120333333","50.5209579,-114.7725981"
"51.061933,-114.055120333333","50.793767,-114.8556157"
"51.061933,-114.055120333333","50.8624904,-114.7936736"
"51.1402186666667,-114.083450777778","50.7980895,-114.8468122"
"51.1402186666667,-114.083450777778","50.8627443,-114.7954559"
"51.1402186666667,-114.083450777778","50.8429257,-114.8487139"
"51.1402186666667,-114.083450777778","50.858334,-114.7941598"
"51.1402186666667,-114.083450777778","50.793767,-114.8556157"
"51.1402186666667,-114.083450777778","50.8624904,-114.7936736"
"51.0294846666667,-114.034320666667","50.7980895,-114.8468122"
"51.0294846666667,-114.034320666667","50.8627443,-114.7954559"
"51.0294846666667,-114.034320666667","50.8429257,-114.8487139"
"51.0294846666667,-114.034320666667","50.858334,-114.7941598"
"51.0294846666667,-114.034320666667","50.5209579,-114.7725981"
"51.0294846666667,-114.034320666667","50.793767,-114.8556157"
"51.0294846666667,-114.034320666667","50.8624904,-114.7936736"
"51.04064375,-114.07929","50.7980895,-114.8468122"
"51.04064375,-114.07929","50.8627443,-114.7954559"
"51.04064375,-114.07929","50.8429257,-114.8487139"
"51.04064375,-114.07929","50.858334,-114.7941598"
"51.04064375,-114.07929","50.5224824,-114.8401684"
"51.04064375,-114.07929","50.5209579,-114.7725981"
"51.04064375,-114.07929","50.793767,-114.8556157"
"51.04064375,-114.07929","50.8624904,-114.7936736"
"53.399324,-117.588622","53.0586103,-118.1105986"
"53.399324,-117.588622","53.0107649,-118.0895734"
"51.0975848,-114.2002851","50.5969496,-114.9880251"
"51.0975848,-114.2002851","50.7980895,-114.8468122"
