locality_id,postal_code,cost_time,cost_driving,cost_total
L4465884,T2M0Z4,21.762509803921567,24.695999999999998,46.458509803921565
L4465884,T2M4K4,18.450823529411764,24.695999999999998,43.14682352941176
L4465884,T2M3X9,18.34164705882353,24.695999999999998,43.037647058823524
L4465884,T2M0W1,19.06949019607843,24.695999999999998,43.76549019607843
L4465884,T2M0E3,16.394666666666666,24.695999999999998,41.090666666666664
L4465884,T2M0Y7,22.490352941176468,24.695999999999998,47.186352941176466
L4465884,T2M1J6,25.87482352941176,24.695999999999998,50.570823529411754
L4465884,T2M1Y4,29.62321568627451,24.695999999999998,54.319215686274504
L4465884,T2M2M5,25.983999999999998,24.695999999999998,50.67999999999999
L4466037,T2M0Z4,30.392470588235298,43.379999999999995,73.7724705882353
L4466037,T2M4K4,25.76752941176471,43.379999999999995,69.14752941176471
L4466037,T2M3X9,25.615058823529413,43.379999999999995,68.9950588235294
L4466037,T2M0W1,26.631529411764706,43.379999999999995,70.0115294117647
L4466037,T2M0E3,22.896,43.379999999999995,66.276
L4466037,T2M0Y7,31.408941176470588,43.379999999999995,74.78894117647059
L4466037,T2M1J6,36.13552941176471,43.379999999999995,79.5155294117647
L4466037,T2M1Y4,41.37035294117648,43.379999999999995,84.75035294117647
L4466037,T2M2M5,36.288,43.379999999999995,79.66799999999999
L2526782,T2M0Z4,17.63513725490196,18.438,36.07313725490196
L2526782,T2M4K4,14.951529411764705,18.438,33.389529411764705
L2526782,T2M3X9,14.863058823529412,18.438,33.30105882352941
L2526782,T2M0W1,15.452862745098036,18.438,33.89086274509803
L2526782,T2M0E3,13.285333333333332,18.438,31.72333333333333
L2526782,T2M0Y7,18.224941176470587,18.438,36.66294117647058
L2526782,T2M1J6,20.967529411764705,18.438,39.405529411764704
L2526782,T2M1Y4,24.00501960784314,18.438,42.44301960784314
L2526782,T2M2M5,21.055999999999997,18.438,39.494
L4474852,T2M0Z4,52.15498039215686,57.42,109.57498039215686
L4474852,T2M4K4,44.21835294117647,57.42,101.63835294117646
L4474852,T2M3X9,43.95670588235294,57.42,101.37670588235295
L4474852,T2M0W1,45.70101960784313,57.42,103.12101960784312
L4474852,T2M0E3,39.29066666666666,57.42,96.71066666666667
L4474852,T2M0Y7,53.89929411764705,57.42,111.31929411764705
L4474852,T2M1J6,62.010352941176464,57.42,119.43035294117647
L4474852,T2M1Y4,70.99356862745098,57.42,128.41356862745099
L4474852,T2M2M5,62.27199999999999,57.42,119.692
L3993701,T2M0Z4,46.151529411764706,52.434,98.5855294117647
L3993701,T2M4K4,39.128470588235295,52.434,91.5624705882353
L3993701,T2M3X9,38.89694117647059,52.434,91.33094117647059
L3993701,T2M0W1,40.44047058823529,52.434,92.87447058823528
L3993701,T2M0E3,34.768,52.434,87.202
L3993701,T2M0Y7,47.69505882352941,52.434,100.1290588235294
L3993701,T2M1J6,54.87247058823529,52.434,107.30647058823529
L3993701,T2M1Y4,62.82164705882353,52.434,115.25564705882353
L3993701,T2M2M5,55.104,52.434,107.538
L2307870,T2M0Z4,39.02243137254902,53.958000000000006,92.98043137254902
L2307870,T2M4K4,33.08423529411765,53.958000000000006,87.04223529411766
L2307870,T2M3X9,32.88847058823529,53.958000000000006,86.84647058823529
L2307870,T2M0W1,34.19356862745098,53.958000000000006,88.15156862745098
L2307870,T2M0E3,29.397333333333332,53.958000000000006,83.35533333333333
L2307870,T2M0Y7,40.32752941176471,53.958000000000006,94.28552941176471
L2307870,T2M1J6,46.396235294117645,53.958000000000006,100.35423529411764
L2307870,T2M1Y4,53.117490196078435,53.958000000000006,107.07549019607845
L2307870,T2M2M5,46.592,53.958000000000006,100.55000000000001
